_time,eventcount,firstpage,theugid,thedevice,isloggedin_r,time_hhmmss_r,login_or_create
2016-02-28T23:32:17.809-0500,3,wish,15765b3d1532b34b8456d60,DESKTOP,"user by-session,user by-session,user by-session","23:32:17,23:32:17,23:32:18","N,N,N"
2016-02-28T23:26:52.817-0500,3,wish,15765b3d1532b34b845740f,DESKTOP,"user by-session,user by-session,user by-session","23:26:52,23:26:52,23:26:53","N,N,N"
2016-02-28T23:18:53.015-0500,3,wish,2e76758a151c835101531ed,TABLET,"user by-session,user by-session,user by-session","23:18:53,23:18:53,23:18:54","N,N,N"
2016-02-28T22:59:24.615-0500,3,wish,2202149a1532a1c926676eb,DESKTOP,"user by-session,user by-session,user by-session","22:59:24,22:59:24,22:59:25","N,N,N"
2016-02-28T22:50:18.300-0500,8,wish,51a7538d151b76ded9e6ad2,DESKTOP,"user by-session,user by-session,user by-session,user by-session,user,user,user,user","22:50:18,22:50:18,22:50:19,22:50:53,22:51:16,22:51:22,22:51:22,22:51:23","N,N,N,C,N,N,N,N"
2016-02-28T22:44:23.500-0500,3,wish,2202149a1532a1c92666a81,TABLET,"user by-session,user by-session,user by-session","22:44:23,22:44:23,22:44:24","N,N,N"
2016-02-28T22:40:28.077-0500,6,wish,15765b3d1532a1d938b6969,MOBILE,"user by-session,user by-session,user by-session,user by-session,user by-session,user by-session","22:40:28,22:40:28,22:40:28,22:40:50,22:40:53,22:40:59","N,N,N,L,N,L"
2016-02-28T22:25:05.887-0500,4,wish,201579b51530f35bd191101,MOBILE,"user by-session,user by-session,user by-session,user by-session","22:25:05,22:25:06,22:25:06,22:25:33","N,N,N,C"
2016-02-28T22:16:58.937-0500,3,wish,15765b3d1532a1d938b4694,DESKTOP,"user by-session,user by-session,user by-session","22:16:58,22:16:59,22:16:59","N,N,N"
2016-02-28T22:12:51.763-0500,5,wish,15765b3d1532a1d938b3ab7,DESKTOP,"user by-session,user by-session,user by-session,user by-session,user","22:12:51,22:12:51,22:12:52,22:13:07,22:13:36","N,N,N,C,N"
2016-02-28T22:07:24.543-0500,4,wish,2202149a1532a1c92664595,MOBILE,"user by-session,user by-session,user by-session,user by-session","22:07:24,22:07:24,22:07:24,22:07:56","N,N,N,C"
2016-02-28T21:57:03.008-0500,13,wish,2202149a1532a1c92663935,MOBILE,"user by-session,user by-session,user by-session,user by-session,user,user,user,user,user,user,user,user,user","21:57:03,21:57:03,21:57:03,21:57:19,21:58:29,21:58:31,21:58:31,21:58:31,21:58:46,22:00:11,22:00:12,22:00:12,22:00:36","N,N,N,L,N,N,N,N,N,N,N,N,L"
2016-02-28T21:48:23.143-0500,3,wish,2202149a1532a1c92663935,MOBILE,"user by-session,user by-session,user by-session","21:48:23,21:48:23,21:48:24","N,N,N"
2016-02-28T21:44:32.425-0500,4,wish,2202149a1532a1c926616fc,DESKTOP,"user by-session,user by-session,user by-session,user by-session","21:44:32,21:44:32,21:44:33,21:45:16","N,N,N,C"
2016-02-28T21:38:57.102-0500,3,wish,15765b3d1532a1d938b1a93,MOBILE,"user by-session,user by-session,user by-session","21:38:57,21:38:57,21:38:57","N,N,N"
2016-02-28T21:37:15.836-0500,3,wish,2202149a1532a1c9266293e,DESKTOP,"user by-session,user by-session,user by-session","21:37:15,21:37:16,21:37:17","N,N,N"
2016-02-28T21:29:51.816-0500,6,wish,1924e802152aa42f3da1623,DESKTOP,"user by-session,user by-session,user by-session,user by-session,user,user","21:29:51,21:29:51,21:29:52,21:30:07,21:30:21,21:31:02","N,N,N,C,N,N"
2016-02-28T21:19:42.022-0500,3,wish,15765b3d1532a1d938b1ddf,MOBILE,"user by-session,user by-session,user by-session","21:19:42,21:19:42,21:19:43","N,N,N"
2016-02-28T21:19:25.629-0500,3,wish,15765b3d1532a1d938b2284,MOBILE,"user by-session,user by-session,user by-session","21:19:25,21:19:26,21:19:26","N,N,N"
2016-02-28T21:08:59.467-0500,3,wish,2202149a1532a1c926616fc,DESKTOP,"user by-session,user by-session,user by-session","21:08:59,21:08:59,21:09:00","N,N,N"
2016-02-28T21:08:51.406-0500,4,wish,15765b3d1532a1d938b1906,MOBILE,"user by-session,user by-session,user by-session,user by-session","21:08:51,21:08:51,21:08:51,21:08:52","N,N,N,N"
2016-02-28T21:08:51.299-0500,1,wish,15765b3d1532a1d938b1906,MOBILE,user by-session,21:08:51,N
2016-02-28T21:06:48.518-0500,11,wish,2a6ea72c1531ba089385741,DESKTOP,"user by-session,user by-session,user by-session,user by-session,user by-session,user by-session,user by-session,user by-session,user by-session,user by-session,user by-session","21:06:48,21:06:48,21:06:48,21:07:26,21:07:28,21:07:48,21:07:50,21:07:59,21:08:01,21:08:07,21:08:09","N,N,N,L,N,L,N,L,N,N,N"
2016-02-28T21:05:45.329-0500,5,wish,2202149a1532a1c92661c5c,TABLET,"user by-session,user by-session,user by-session,user by-session,user","21:05:45,21:05:45,21:05:46,21:06:30,21:07:00","N,N,N,C,N"
2016-02-28T21:04:18.452-0500,6,wish,1a7467a3152f5253ca62e04,MOBILE,"user by-session,user by-session,user by-session,user by-session,user by-session,user by-session","21:04:18,21:04:18,21:04:18,21:04:37,21:04:39,21:05:03","N,N,N,L,N,C"
2016-02-28T21:01:38.508-0500,3,wish,1a7467a3152f5253ca62e04,MOBILE,"user by-session,user by-session,user by-session","21:01:38,21:01:38,21:01:38","N,N,N"
2016-02-28T20:58:06.069-0500,3,wish,15765b3d1532a1d938b641,DESKTOP,"user by-session,user by-session,user by-session","20:58:06,20:58:06,20:58:06","N,N,N"
2016-02-28T20:54:30.002-0500,3,wish,2202149a1532a1c92661c5c,TABLET,"user by-session,user by-session,user by-session","20:54:30,20:54:30,20:54:31","N,N,N"
2016-02-28T20:53:13.559-0500,6,wish,2202149a1532a1c926651f9,DESKTOP,"user by-session,user by-session,user by-session,user by-session,user,user","20:53:13,20:53:13,20:53:13,20:54:07,20:54:34,20:54:34","N,N,N,C,C,N"
2016-02-28T20:51:09.408-0500,7,wish,2202149a1532a1c92668f1,MOBILE,"user by-session,user by-session,user by-session,user by-session,user by-session,user by-session,user by-session","20:51:09,20:51:12,20:51:16,20:51:57,20:52:46,20:54:50,20:55:13","N,N,N,N,N,N,N"
2016-02-28T20:44:09.245-0500,7,wish,2202149a1532a1c9266405,MOBILE,"user by-session,user by-session,user by-session,user by-session,user,user,user","20:44:09,20:44:09,20:44:09,20:44:44,20:46:26,20:46:26,20:46:27","N,N,N,C,N,N,N"
2016-02-28T20:39:10.562-0500,4,wish,2202149a1532a1c92662aa6,DESKTOP,"user by-session,user by-session,user by-session,user by-session","20:39:10,20:39:10,20:39:11,20:39:23","N,N,N,L"
2016-02-28T20:31:33.670-0500,4,wish,2202149a1532a1c9266b41,DESKTOP,"user by-session,user by-session,user by-session,user by-session","20:31:33,20:31:33,20:31:34,20:32:16","N,N,N,N"
2016-02-28T20:28:29.374-0500,4,wish,6923bf17151b9eb004a111c,DESKTOP,"user by-session,user by-session,user by-session,user by-session","20:28:29,20:28:29,20:28:30,20:28:40","N,N,N,N"
2016-02-28T20:21:52.928-0500,4,wish,15765b3d1532a1d938b14fb,DESKTOP,"user by-session,user by-session,user by-session,user by-session","20:21:52,20:21:53,20:21:53,20:21:55","N,N,N,L"
2016-02-28T20:18:13.210-0500,5,wish,15765b3d1532a1d938b1564,DESKTOP,"user by-session,user by-session,user by-session,user by-session,user","20:18:13,20:18:13,20:18:13,20:18:20,20:18:44","N,N,N,L,N"
2016-02-28T20:12:11.632-0500,3,wish,15765b3d1532a1d938b5297,DESKTOP,"user by-session,user by-session,user by-session","20:12:11,20:12:11,20:12:12","N,N,N"
2016-02-28T20:08:00.972-0500,5,wish,15765b3d1532a1d938b2b64,DESKTOP,"user by-session,user by-session,user by-session,user by-session,user","20:08:00,20:08:01,20:08:01,20:11:39,20:11:53","N,N,N,C,N"
2016-02-28T19:56:12.644-0500,3,wish,1d64ef71152c3c1c15110,MOBILE,"user by-session,user by-session,user by-session","19:56:12,19:56:12,19:56:13","N,N,N"
2016-02-28T19:52:05.791-0500,4,wish,2202149a1532a1c9266310b,TABLET,"user by-session,user by-session,user by-session,user by-session","19:52:05,19:52:10,19:52:10,19:53:14","N,N,N,C"
2016-02-28T19:52:04.911-0500,1,wish,2202149a1532a1c9266310b,TABLET,user by-session,19:52:04,N
2016-02-28T19:42:16.716-0500,3,wish,15765b3d1532a1d938b3603,TABLET,"user by-session,user by-session,user by-session","19:42:16,19:42:17,19:42:18","N,N,N"
2016-02-28T19:32:45.223-0500,7,wish,15765b3d1532a1d938b42cd,MOBILE,"user by-session,user by-session,user by-session,user by-session,user by-session,user by-session,user by-session","19:32:45,19:32:45,19:32:45,19:33:07,19:33:10,19:33:21,19:33:25","N,N,N,L,N,N,N"
2016-02-28T19:19:35.044-0500,4,wish,15765b3d1532a1d938b6a00,DESKTOP,"user by-session,user by-session,user by-session,user by-session","19:19:35,19:19:35,19:19:35,19:19:47","N,N,N,L"
2016-02-28T19:11:55.754-0500,4,wish,15765b3d1532a1d938b4720,MOBILE,"user by-session,user by-session,user by-session,user by-session","19:11:55,19:11:56,19:11:56,19:12:04","N,N,N,N"
2016-02-28T19:11:46.731-0500,3,wish,15765b3d1532a1d938b4720,MOBILE,"user by-session,user by-session,user by-session","19:11:46,19:11:46,19:11:47","N,N,N"
2016-02-28T19:08:23.290-0500,3,wish,2202149a1532a1c926663f1,DESKTOP,"user by-session,user by-session,user by-session","19:08:23,19:08:23,19:08:23","N,N,N"
2016-02-28T19:07:58.439-0500,8,wish,6d185aa115304dce75947f2,TABLET,"user by-session,user by-session,user by-session,user by-session,user by-session,user by-session,user,user","19:07:58,19:07:58,19:07:59,19:08:23,19:08:26,19:09:09,19:12:05,19:12:09","N,N,N,L,N,C,N,N"
